species,order,common_name,invasivness,interdigitation,Reference link url,,,,,
Cervus_unicolor,Artiodactyla,sambar,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D30,,,,,
Connochaetes_gnou,Artiodactyla,black_wildebeest,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D19,,,,,
Connochaetes_taurinus,Artiodactyla,blue_wildebeest,Epitheliochorial,Villous,http://placentation.ucsd.edu/gnu.html,,,,,
Copra_hircus,Artiodactyla,goat,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D21,,,,,
Dama_dama,Artiodactyla,fallow_deer,Epitheliochorial,Villous,http://placentation.ucsd.edu/deer.html,,,,,
Damaliscus_lunatus,Artiodactyla,common_tsessebe,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D18,,,,,
Elaphodus_cephalophus,Artiodactyla,tufted_deer,Epitheliochorial,Villous,,,,,,
Elaphurus_davidianus,Artiodactyla,Pre_David's deer,Epitheliochorial,Villous,http://placentation.ucsd.edu/deer.html,,,,,
Eudorcas_thomsonii,Artiodactyla,Thomson's_gazelle,Epitheliochorial,Villous,,,,,,
Gazella_cuvieri,Artiodactyla,Cuvier's_gazelle,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D17,,,,,
Gazella_dama,Artiodactyla,dama_gazelle,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D16,,,,,
Gazella_dorcas,Artiodactyla,dorcas_gazelle,Epitheliochorial,Villous,,,,,,
Gazella_granti,Artiodactyla,Grant's_gazelle,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D15,,,,,
Gazella_leptoceros,Artiodactyla,rhim_gazelle,Epitheliochorial,Villous,,,,,,
Gazella_marica,Artiodactyla,Arabian_sand gazelle,Epitheliochorial,Villous,http://placentation.ucsd.edu/sgazel.html,,,,,
Gazella_soemmerringii,Artiodactyla,Gazella_soemmerringii,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D14,,,,,
Gazella_spekei,Artiodactyla,Speke's_gazelle,Epitheliochorial,Villous,,,,,,
Gazella_subgutturosa,Artiodactyla,goitered,Epitheliochorial,Villous,http://placentation.ucsd.edu/persiangaz.html,,,,,
Gazella_thomsonii,Artiodactyla,Thomson's_gazelle,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D13,,,,,
Giraffa_camelopardalis,Artiodactyla,northern_giraffe,Epitheliochorial,Villous,,,,,,
Giraffa_tippelskirchi,Artiodactyla,Masai_giraffe,Epitheliochorial,Villous,,,,,,
Hemitragus_hylocrius,Artiodactyla,Nilgiri_tahr,Epitheliochorial,Villous,http://placentation.ucsd.edu/tahr.html,,,,,
Hemitragus_jemlahicus,Artiodactyla,Himalayan_tahr,Epitheliochorial,Villous,http://placentation.ucsd.edu/himal.html,,,,,
Hexaprotodon_liberiensis,Artiodactyla,pygmy_hippopotamus,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0143400485800357,,,,,
Hippotragus_equinus,Artiodactyla,roan_antelope,Epitheliochorial,Villous,https://placentation.ucsd.edu/roan.html,,,,,
Hippotragus_niger,Artiodactyla,sable_antelope,Epitheliochorial,Villous,https://repository.si.edu/server/api/core/bitstreams/d4bf06f1-30ff-4446-be50-35a72642dfcd/content,,,,,
Hydropotes_inermis,Artiodactyla,water_deer,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC1244412/,,,,,
Inia_geoffrensis,Artiodactyla,Amazon_river dolphin,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0012160624002161?,,,,,
Kobus_defassa,Artiodactyla,waterbuck,Epitheliochorial,Villous,,,,,,
Kobus_ellipsiprymnus,Artiodactyla,Ellipsen_waterbuck,Epitheliochorial,Villous,http://placentation.ucsd.edu/buck.html,,,,,
Kobus_leche,Artiodactyla,lechwe,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/0093691X83901930,,,,,
Kobus_megaceros,Artiodactyla,Nile_lechwe,Epitheliochorial,Villous,http://placentation.ucsd.edu/buck.html,,,,,
Lama_glama,Artiodactyla,llama,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S1055790308004715,,,,,
Lama_guanicoe,Artiodactyla,guanaco,Epitheliochorial,Villous,http://placentation.ucsd.edu/camfs.htm,,,,,
Lama_pacos,Artiodactyla,alpaca,Epitheliochorial,Villous,https://www.ncbi.nlm.nih.gov/pubmed/12802689,,,,,
Lemur_catta,Artiodactyla,ring-tailed_lemur,Epitheliochorial,Villous,http://placentation.ucsd.edu/ringlemur.html,,,,,
Lissodelphis_borealis,Artiodactyla,northern_right whale dolphin,Epitheliochorial,Villous,https://placentation.ucsd.edu/lisso.htm?,,,,,
Litocranius_walleri,Artiodactyla,gerenuk,Epitheliochorial,Villous,http://placentation.ucsd.edu/gerenukfs.htm,,,,,
Madoqua_guentheri,Artiodactyla,Gnther's_dik-dik,Epitheliochorial,Villous,https://academic.oup.com/mspecies/article/doi/10.2307/3504145/2600734,,,,,
Madoqua_kirkii,Artiodactyla,Kirk's_dik-dik,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/0093691X83901930,,,,,
Mazama_americana,Artiodactyla,red_brocket,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0093691X19301372,,,,,
Megaptera_novaeangliae,Artiodactyla,humpback_whale,Epitheliochorial,Villous,https://www.researchgate.net/figure/Placenta-of-the-Antarctic-minke-whale-on-day-153-of-gestation-fetal-length-L799-cm_fig1_233995220,,,,,
Muntiacus_muntjak,Artiodactyla,Indian_muntjac,Epitheliochorial,Villous,https://link.springer.com/article/10.1007/s00412-006-0066-4,,,,,
Muntiacus_reevesi,Artiodactyla,Reeves's_muntjac,Epitheliochorial,Villous,https://www.degruyterbrill.com/document/doi/10.1515/mamm.1970.34.2.303/html,,,,,
Naemorhedus_crispus,Artiodactyla,Japanese_serow,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D12,,,,,
Naemorhedus_goral,Artiodactyla,Himalayan_goral,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0093691X14003537,,,,,
Naemorhedus_griseus,Artiodactyla,Chinese_goral,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0093691X14003537,,,,,
Nanger_dama,Artiodactyla,dama_gazelle,Epitheliochorial,Villous,https://bioone.org/journals/journal-of-zoo-and-wildlife-medicine/volume-51/issue-4/2020-0106/EVALUATION-OF-A-VISUAL-ENZYME-LINKED-IMMUNOSORBENT-ASSAY-ELISA-FOR/10.1638/2020-0106.full,,,,,
Nanger_granti,Artiodactyla,Grant's_gazelle,Epitheliochorial,Villous,,,,,,
Neotragus_moschatus,Artiodactyla,Suni,Hemochorial,Villous,https://rep.bioscientifica.com/view/journals/rep/88/2/jrf_88_2_014.xml,,,,,
Neotragus_pygmaeus,Artiodactyla,royal_antelope,Epitheliochorial,Villous,,,,,,
Odocoileus_hemionus,Artiodactyla,mule_deer,Epitheliochorial,Villous,,,,,,
Odocoileus_virginianus,Artiodactyla,white-tailed_deer,Epitheliochorial,Villous,,,,,,
Okapia_johnstoni,Artiodactyla,okapi,Epitheliochorial,Villous,http://placentation.ucsd.edu/okapi.htm,,,,,
Oreamnos_americanus,Artiodactyla,mountain_goat,Epitheliochorial,Villous,,,,,,
Oreotragus_oreotragus,Artiodactyla,klipspringer,Epitheliochorial,Villous,http://placentation.ucsd.edu/klipspringer.htm,,,,,
Oryx_dammah,Artiodactyla,scimitar_oryx,Epitheliochorial,Villous,http://placentation.ucsd.edu/scimitarfs.htm,,,,,
Oryx_gazella,Artiodactyla,South_African oryx,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D11,,,,,
Oryx_leucoryx,Artiodactyla,Arabian_oryx,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S1751731123000927,,,,,
Ovibos_moschatus,Artiodactyla,muskox,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC2829387/,,,,,
Ovis_aries,Artiodactyla,Sheep,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC2829387/,,,,,
Ovis_canadensis,Artiodactyla,bighorn_sheep,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC2829387/,,,,,
Ovis_dalli,Artiodactyla,Dall's_sheep,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC2829387/,,,,,
Ovis_vignei,Artiodactyla,urial,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D10,,,,,
Pecari_tajacu,Artiodactyla,collared_peccary,Epitheliochorial,Villous,,,,,,
Phacochoerus_aethiopicus,Artiodactyla,desert_warthog,Epitheliochorial,Villous,,,,,,
Phacochoerus_africanus,Artiodactyla,common_warthog,Epitheliochorial,Villous,https://www.annualreviews.org/docserver/fulltext/genet/58/1/annurev-genet-111523-102135.pdf?expires=1754776260&id=id&accname=ar-157036&checksum=973B29E18B32932C7228DADCDF349D59,,,,,
Philantomba_monticola,Artiodactyla,blue_duiker,Epitheliochorial,Villous,,,,,,
Platanista_gangetica,Artiodactyla,South_Asian river dolphin,Epitheliochorial,Villous,https://placentation.ucsd.edu/dolph.html?,,,,,
Platanista_minor,Artiodactyla,South_Asian river dolphin,Epitheliochorial,Villous,https://placentation.ucsd.edu/dolph.html?,,,,,
Potamochoerus_porcus,Artiodactyla,red_river hog,Epitheliochorial,Villous,,,,,,
Pseudois_nayaur,Artiodactyla,blue_sheep,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D9,,,,,
Pudu_puda,Artiodactyla,pudus,Epitheliochorial,Villous,,,,,,
Rangifer_tarandus,Artiodactyla,reindeer,Epitheliochorial,Villous,,,,,,
Raphicerus_campestris,Artiodactyla,steenbok,Epitheliochorial,Villous,http://placentation.ucsd.edu/steen.htm,,,,,
Rucervus_eldii,Artiodactyla,Eld's_deer,Epitheliochorial,Villous,,,,,,
Saiga_tatarica,Artiodactyla,saiga_antelope,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D8,,,,,
Sus_cebifrons,Artiodactyla,Visayan_warty pig,Epitheliochorial,Villous,,,,,,
Sus_scrofa,Artiodactyla,wild_boar,Epitheliochorial,Villous,,,,,,
Syncerus_caffer,Artiodactyla,African_buffalo,Epitheliochorial,Villous,http://placentation.ucsd.edu/congo.html,,,,,
Taurotragus_derbianus,Artiodactyla,giant_eland,Epitheliochorial,Villous,http://placentation.ucsd.edu/eland.htm,,,,,
Taurotragus_oryx,Artiodactyla,common_eland,Epitheliochorial,Villous,http://placentation.ucsd.edu/eland.htm,,,,,
Tayassu_tajacu,Artiodactyla,collared_peccary,Epitheliochorial,Villous,https://eurekamag.com/research/003/885/003885331.php?srsltid=AfmBOopmasZnh7aFfgA-euv2jJoWpebIUMERXXYKFpCs9w0dORNIs4L3&,,,,,
Tragelaphus_angasii,Artiodactyla,lowland_nyala,Epitheliochorial,Villous,http://placentation.ucsd.edu/nyala.htm,,,,,
Tragelaphus_eurycerus,Artiodactyla,antelope,Epitheliochorial,Villous,http://placentation.ucsd.edu/bongofs.htm,,,,,
Tragelaphus_imberbis,Artiodactyla,lesser_kudu,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0143400480800130?,,,,,
Tragelaphus_oryx,Artiodactyla,common_eland,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0143400480800130?,,,,,
Tragelaphus_scriptus,Artiodactyla,harnessed_bushbuck,Epitheliochorial,Villous,http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html,,,,,
Tragelaphus_spekii,Artiodactyla,sitatunga,Epitheliochorial,Villous,http://placentation.ucsd.edu/sita.html,,,,,
Tragelaphus_strepsiceros,Artiodactyla,greater_kudu,Epitheliochorial,Villous,,,,,,
Tragulus_javanicus,Artiodactyla,Java_mouse-deer,Epitheliochorial,Villous,http://placentation.ucsd.edu/chevro.htm,,,,,
Tragulus_napu,Artiodactyla,greater_mouse-deer,Epitheliochorial,Villous,http://placentation.ucsd.edu/chevro.htm,,,,,
Vicugna_pacos,Artiodactyla,huacayan_alpaca,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0143400480800130?,,,,,
Vicugna_vicugna,Artiodactyla,vicua,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0143400480800130?,,,,,
Acinonyx_jubatus,Carnivora,cheetah,Endotheliochorial,Labyrinthine,https://www.sciencedirect.com/science/article/pii/S0143400409004093?via%3Dihub,,,,,
Ailuropoda_melanoleuca,Carnivora,giant_panda,Endotheliochorial,Labyrinthine,https://placentation.ucsd.edu/panda.html,,,,,
Ailurus_fulgens,Carnivora,red_panda,Endotheliochorial,Labyrinthine,http://placentation.ucsd.edu/panda.html,,,,,
Aonyx_capensis,Carnivora,African_clawless otter,Endotheliochorial,Labyrinthine,,,,,,
Aonyx_cinerea,Carnivora,Asian_small-clawed otter,Endotheliochorial,Labyrinthine,http://placentation.ucsd.edu/clotter.htm,,,,,
Aonyx_cinereus,Carnivora,Asian_small-clawed otter,Endotheliochorial,Labyrinthine,http://placentation.ucsd.edu/clotter.htm,,,,,
Arctictis_binturong,Carnivora,binturong,Endotheliochorial,Labyrinthine,,,,,,
Arctocephalus_pusillus,Carnivora,brown_fur seal,Endotheliochorial,Labyrinthine,https://placentation.ucsd.edu/seal.htm,,,,,
Arctocephalus_townsendi,Carnivora,Guadalupe_fur seal,Endotheliochorial,Labyrinthine,https://placentation.ucsd.edu/seal.htm,,,,,
Bassariscus_astutus,Carnivora,ringtail,Endotheliochorial,Labyrinthine,https://pmc.ncbi.nlm.nih.gov/articles/PMC7148636/,,,,,
Bassariscus_sumichrasti,Carnivora,cacomistle,Endotheliochorial,Labyrinthine,https://pmc.ncbi.nlm.nih.gov/articles/PMC7148636/,,,,,
Bradypus_griseus,Carnivora,sloth_bear,Endotheliochorial,Labyrinthine,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D24,,,,,
Callorhinus_ursinus,Carnivora,northern_fur seal,Endotheliochorial,Labyrinthine,https://placentation.ucsd.edu/seal.htm,,,,,
Canis_latrans,Carnivora,coyote,Endotheliochorial,Labyrinthine,https://vivo.colostate.edu/hbooks/pathphys/reprod/placenta/dog_cat.html?,,,,,
Canis_lupus,Carnivora,wolf,Endotheliochorial,Labyrinthine,https://vivo.colostate.edu/hbooks/pathphys/reprod/placenta/dog_cat.html?,,,,,
Canis_mesomelas,Carnivora,black-backed_jackal,Endotheliochorial,Labyrinthine,https://vivo.colostate.edu/hbooks/pathphys/reprod/placenta/dog_cat.html?,,,,,
Canis_rufus,Carnivora,red_wolf,Endotheliochorial,Labyrinthine,https://vivo.colostate.edu/hbooks/pathphys/reprod/placenta/dog_cat.html?,,,,,
Caracal_caracal,Carnivora,caracal,Endotheliochorial,Labyrinthine,https://journals.co.za/doi/abs/10.10520/AJA00445096_1043,,,,,
Chrysocyon_brachyurus,Carnivora,maned_wolf,Endotheliochorial,Labyrinthine,,,,,,
Conepatus_semistriatus,Carnivora,striped_hog-nosed skunk,Endotheliochorial,Labyrinthine,,,,,,
Crocuta_crocuta,Carnivora,spotted_hyena,Hemochorial,Labyrinthine,https://pubmed.ncbi.nlm.nih.gov/17108685/,,,,,
Crossarchus_obscurus,Carnivora,common_kusimanse,Endotheliochorial,Labyrinthine,,,,,,
Cryptoprocta_ferox,Carnivora,fossa,Endotheliochorial,Labyrinthine,,,,,,
Cystophora_cristata,Carnivora,hooded_seal,Endotheliochorial,Labyrinthine,https://www.int-res.com/abstracts/dao/v106/n3/p187-196/,,,,,
Eira_barbara,Carnivora,tayra,Endotheliochorial,Labyrinthine,,,,,,
Enhydra_lutris,Carnivora,sea_otter,Endotheliochorial,Labyrinthine,http://placentation.ucsd.edu/seaotter.htm,,,,,
